   ID     X     Y      Map X       Map Y        Lat        Lon    B1    B2    B3    B4    B5    B6    B7    B8    B9   B10   B11   B12
   3  2899  2677  557940.00  5446500.00  49.168577  15.794842   152   296   201   472  1299  1562  1739   856   413    20    30    16
   4  2900  2677  557960.00  5446500.00  49.168575  15.795116   147   301   199   465  1276  1545  1659   868   417    21    30    15
   5  2899  2678  557940.00  5446480.00  49.168397  15.794839   177   316   213   507  1359  1655  1788   862   415    22    33    19
   6  2900  2678  557960.00  5446480.00  49.168395  15.795113   170   306   213   504  1364  1598  1778   882   427    23    31    16

    1  2870  2658  557360.00  5446880.00  49.172049  15.786940   177   334   214   533  1558  1893  2101  1096   545    24    35    17
    2  2871  2658  557380.00  5446880.00  49.172047  15.787214   189   382   260   566  1521  1814  2128  1225   609    26    39    20
    3  2869  2659  557340.00  5446860.00  49.171871  15.786663   178   337   226   549  1610  1994  2144  1087   540    23    35    20
    4  2870  2659  557360.00  5446860.00  49.171869  15.786937   178   345   226   554  1659  2030  2237  1206   594    23    35    19
    5  2871  2659  557380.00  5446860.00  49.171867  15.787211   168   326   213   574  1721  2150  2377  1241   590    23    34    17
    6  2872  2659  557400.00  5446860.00  49.171865  15.787486   172   334   213   563  1766  2177  2369  1267   606    23    35    18
    7  2869  2660  557340.00  5446840.00  49.171691  15.786660   188   353   222   560  1641  2038  2216  1139   564    24    37    20
    8  2870  2660  557360.00  5446840.00  49.171689  15.786934   185   358   222   572  1789  2198  2382  1259   606    23    37    19
    9  2871  2660  557380.00  5446840.00  49.171687  15.787209   183   360   222   602  1903  2366  2579  1344   646    24    37    19
   10  2872  2660  557400.00  5446840.00  49.171685  15.787483   176   357   215   593  1864  2324  2489  1289   639    22    36    18
   11  2869  2661  557340.00  5446820.00  49.171511  15.786657   170   366   228   571  1832  2255  2413  1269   590    23    37    19
   12  2870  2661  557360.00  5446820.00  49.171509  15.786931   182   359   224   583  1849  2264  2511  1299   653    23    38    19
   13  2871  2661  557380.00  5446820.00  49.171507  15.787206   184   373   222   612  1936  2389  2638  1339   663    24    38    19

   1  2933  2637  558620.00  5447300.00  49.175707  15.804286   164   316   195   506  1541  1892  2120   840   410    20    33    17
   2  2934  2637  558640.00  5447300.00  49.175706  15.804560   174   329   228   541  1545  1895  2102   915   468    23    33    16
   3  2933  2638  558620.00  5447280.00  49.175528  15.804283   163   315   199   520  1578  1965  2162   846   393    21    33    17
   4  2934  2638  558640.00  5447280.00  49.175526  15.804557   158   326   204   546  1524  1901  2077   883   440    21    32    16
   5  2933  2639  558620.00  5447260.00  49.175348  15.804280   173   320   221   533  1602  1985  2205   841   417    23    33    18

   1  2935  2636  558660.00  5447320.00  49.175884  15.804837   158   304   200   493  1451  1799  2011   842   407    23    33    15
   2  2936  2636  558680.00  5447320.00  49.175882  15.805112   158   313   214   507  1549  1907  2079  1000   447    24    32    17
   3  2935  2637  558660.00  5447300.00  49.175704  15.804834   158   335   234   514  1464  1830  2027   917   468    24    36    18
   4  2936  2637  558680.00  5447300.00  49.175702  15.805109   157   290   196   467  1412  1757  1906   959   478    19    29    15

    1  2908  2698  558120.00  5446080.00  49.164782  15.797250   151   281   208   489  1216  1466  1622   955   480    26    29    15
    2  2909  2698  558140.00  5446080.00  49.164780  15.797524   157   315   256   514  1209  1477  1617  1024   543    26    31    18
    3  2910  2698  558160.00  5446080.00  49.164778  15.797799   143   281   214   505  1156  1382  1618   965   503    18    30    17
    4  2907  2699  558100.00  5446060.00  49.164604  15.796973   192   333   354   616  1145  1451  1592  1200   696    37    35    20
    5  2908  2699  558120.00  5446060.00  49.164602  15.797247   189   342   347   643  1245  1456  1716  1280   697    38    34    20
    6  2909  2699  558140.00  5446060.00  49.164600  15.797521   200   327   373   602  1080  1280  1453  1238   718    37    32    19
    7  2910  2699  558160.00  5446060.00  49.164598  15.797796   146   271   237   520  1142  1366  1555  1000   553    25    29    16
    8  2907  2700  558100.00  5446040.00  49.164424  15.796970   185   341   292   598  1337  1610  1791  1138   638    30    34    18
    9  2908  2700  558120.00  5446040.00  49.164422  15.797244   182   336   366   593  1089  1251  1558  1214   724    37    36    21
   10  2909  2700  558140.00  5446040.00  49.164420  15.797519   172   300   320   560  1049  1309  1455  1091   638    34    31    18
   11  2910  2700  558160.00  5446040.00  49.164418  15.797793   135   285   203   496  1240  1493  1663   949   499    24    28    14
   12  2908  2701  558120.00  5446020.00  49.164242  15.797241   136   274   222   482  1130  1360  1539   951   483    25    28    13
   13  2909  2701  558140.00  5446020.00  49.164240  15.797516   152   293   208   502  1201  1535  1629   898   442    22    30    17

    1  2630  2676  552560.00  5446520.00  49.169241  15.721046   204   331   217   483  1350  1602  1760   743   337    22    33    20
    2  2631  2676  552580.00  5446520.00  49.169239  15.721320   184   315   222   481  1305  1594  1714   744   331    23    34    21
    3  2632  2676  552600.00  5446520.00  49.169237  15.721595   186   317   218   489  1283  1543  1707   740   336    22    33    20
    4  2633  2676  552620.00  5446520.00  49.169236  15.721869   201   323   225   490  1320  1596  1743   744   319    23    33    20
    5  2634  2676  552640.00  5446520.00  49.169234  15.722143   201   320   220   472  1328  1627  1830   763   325    23    34    20
    6  2630  2677  552560.00  5446500.00  49.169061  15.721043   205   321   217   481  1303  1607  1746   724   313    22    33    20
    7  2631  2677  552580.00  5446500.00  49.169059  15.721318   189   323   222   509  1285  1574  1693   725   314    24    33    21
    8  2632  2677  552600.00  5446500.00  49.169057  15.721592   204   325   224   505  1329  1647  1796   730   334    23    33    20
    9  2633  2677  552620.00  5446500.00  49.169056  15.721866   213   338   225   519  1408  1716  1862   792   358    23    34    21
   10  2634  2677  552640.00  5446500.00  49.169054  15.722141   197   315   226   493  1314  1625  1819   760   330    23    33    19
   11  2630  2678  552560.00  5446480.00  49.168881  15.721041   203   300   205   456  1264  1567  1675   727   311    25    33    20
   12  2631  2678  552580.00  5446480.00  49.168879  15.721315   188   330   228   491  1339  1609  1752   738   344    25    33    21
   13  2632  2678  552600.00  5446480.00  49.168878  15.721589   212   334   232   511  1426  1688  1820   772   330    26    35    23
   14  2630  2679  552560.00  5446460.00  49.168701  15.721038   191   317   216   465  1340  1578  1739   744   319    22    33    20
   15  2631  2679  552580.00  5446460.00  49.168699  15.721312   177   321   209   466  1388  1640  1798   783   353    21    33    21
   16  2632  2679  552600.00  5446460.00  49.168698  15.721587   203   325   204   469  1306  1658  1725   745   327    22    32    21
   17  2630  2680  552560.00  5446440.00  49.168521  15.721035   197   314   218   484  1376  1629  1784   784   363    23    33    20
   18  2631  2680  552580.00  5446440.00  49.168520  15.721310   193   306   214   460  1325  1541  1749   743   346    23    31    19

    1  2632  2688  552600.00  5446280.00  49.167079  15.721563   167   303   199   471  1333  1535  1694   759   334    23    32    19
